ID,Activity_Name,Expected_Start_Date,Contractor_Name,Region,Complexity_Level
1490,الدهانات النهائية,2025-01-05,شركة السيف للمقاولات الهندسية,عسير,Low
1491,صب سقف الدور الأرضي,2023-04-23,شركة العيوني للاستثمار والمقاولات,الجوف,Medium
1492,صب الخرسانة المسلحة للقواعد,2023-10-26,شركة دريك آند سكل,الجوف,High
1493,تبليط الحوش والأسوار,2022-04-16,شركة جرير للمقاولات,الحدود الشمالية,Medium
1494,تركيب النوافذ والأبواب,2023-01-12,شركة راشد الراشد,جازان,Low
1495,تركيب المصاعد,2022-03-09,شركة نسما للمقاولات,الرياض,Medium
1496,أعمال الحفر والردم,2022-07-19,شركة روشن العقارية,القصيم,Medium
1497,بناء جدران القبو,2024-08-22,شركة العيوني للاستثمار والمقاولات,نجران,Low
1498,تركيب المصاعد,2024-07-06,شركة راشد الراشد,الرياض,Low
1499,اللياسة الداخلية,2023-05-30,شركة أرامكو السعودية (إشراف/تنفيذ),مكة المكرمة,High
1500,صب سقف الدور الأرضي,2023-01-25,شركة نسما للمقاولات,الجوف,High
